Sr. No.,District,State,Zonal Classification,,
588,Nizamabad,Telangana,Orange Zone,,
589,JogulambaGadwal,Telangana,Orange Zone,,
590,Nirmal,Telangana,Orange Zone,,
591,Nalgonda,Telangana,Orange Zone,,
592,Adilabad,Telangana,Orange Zone,,
593,Sangareddy,Telangana,Orange Zone,,
594,Kamareddy,Telangana,Orange Zone,,
595,KumuramBheemAsifabad,Telangana,Orange Zone,,
596,Karimnagar,Telangana,Orange Zone,,
597,Khammam,Telangana,Orange Zone,,
598,Mahabubnagar,Telangana,Orange Zone,,
599,Jagitial,Telangana,Orange Zone,,
600,RajannaSircilla,Telangana,Orange Zone,,
601,JayashankarBhupalapally,Telangana,Orange Zone,,
602,Medak,Telangana,Orange Zone,,
603,Jangoan,Telangana,Orange Zone,,
604,Narayanpet,Telangana,Orange Zone,,
605,Mancherial,Telangana,Orange Zone,,
606,Peddapalli,Telangana,Green Zone,,
607,Nagarkurnool,Telangana,Green Zone,,
608,Mulugu,Telangana,Green Zone,,
609,BhadradriKothagudem,Telangana,Green Zone,,
610,Mahabubabad,Telangana,Green Zone,,
611,Siddipet,Telangana,Green Zone,,
612,Warangal Rural,Telangana,Green Zone,,
613,Wanaparthy,Telangana,Green Zone,,
614,YadadriBhuvanagiri,Telangana,Green Zone,,
615,North Tripura,Tripura,Orange Zone,,
616,Gomati,Tripura,Orange Zone,,
617,Dhalai,Tripura,Green Zone,,
618,South Tripura,Tripura,Green Zone,,
619,West Tripura,Tripura,Green Zone,,
620,Khowai,Tripura,Green Zone,,
621,Sepahijala,Tripura,Green Zone,,
622,Unakoti,Tripura,Green Zone,,
623,Agra,Uttar Pradesh,Red Zone,,
624,Lucknow,Uttar Pradesh,Red Zone,,
625,Saharanpur,Uttar Pradesh,Red Zone,,
626,Kanpur Nagar,Uttar Pradesh,Red Zone,,
627,Moradabad,Uttar Pradesh,Red Zone,,
628,Firozabad,Uttar Pradesh,Red Zone,,
629,Gautam Buddha Nagar,Uttar Pradesh,Red Zone,,
630,Bulandshahr,Uttar Pradesh,Red Zone,,
631,Meerut,Uttar Pradesh,Red Zone,,
632,Rae Bareli,Uttar Pradesh,Red Zone,,
633,Varanasi,Uttar Pradesh,Red Zone,,
634,Bijnor,Uttar Pradesh,Red Zone,,
635,Amroha,Uttar Pradesh,Red Zone,,
636,Sant Kabeer Nagar,Uttar Pradesh,Red Zone,,
637,Aligarh,Uttar Pradesh,Red Zone,,
638,Muzaffarnagar,Uttar Pradesh,Red Zone,,
639,Rampur,Uttar Pradesh,Red Zone,,
640,Mathura,Uttar Pradesh,Red Zone,,
641,Bareilly,Uttar Pradesh,Red Zone,,
642,Ghaziabad,Uttar Pradesh,Orange Zone,,
643,Hapur,Uttar Pradesh,Orange Zone,,
644,Baghpat,Uttar Pradesh,Orange Zone,,
645,Basti,Uttar Pradesh,Orange Zone,,
646,Budaun,Uttar Pradesh,Orange Zone,,
647,Sambhal,Uttar Pradesh,Orange Zone,,
648,Auraiya,Uttar Pradesh,Orange Zone,,
649,Shamli,Uttar Pradesh,Orange Zone,,
650,Sitapur,Uttar Pradesh,Orange Zone,,
651,Bahraich,Uttar Pradesh,Orange Zone,,
652,Kannauj,Uttar Pradesh,Orange Zone,,
653,Azamgarh,Uttar Pradesh,Orange Zone,,
654,Mainpuri,Uttar Pradesh,Orange Zone,,
655,Shravasti,Uttar Pradesh,Orange Zone,,
656,Banda,Uttar Pradesh,Orange Zone,,
657,Jaunpur,Uttar Pradesh,Orange Zone,,
658,Etah,Uttar Pradesh,Orange Zone,,
659,Kasganj,Uttar Pradesh,Orange Zone,,
660,Sultanpur,Uttar Pradesh,Orange Zone,,
661,Prayagraj,Uttar Pradesh,Orange Zone,,
662,Jalaun,Uttar Pradesh,Orange Zone,,
663,Mirzapur,Uttar Pradesh,Orange Zone,,
664,Etawah,Uttar Pradesh,Orange Zone,,
665,Pratapgarh,Uttar Pradesh,Orange Zone,,
666,Ghazipur,Uttar Pradesh,Orange Zone,,
667,Gonda,Uttar Pradesh,Orange Zone,,
668,Mau,Uttar Pradesh,Orange Zone,,
669,Bhadohi,Uttar Pradesh,Orange Zone,,
670,Unnao,Uttar Pradesh,Orange Zone,,
671,Pilibhit,Uttar Pradesh,Orange Zone,,
672,Balrampur,Uttar Pradesh,Orange Zone,,
673,Ayodhya,Uttar Pradesh,Orange Zone,,
674,Gorakhpur,Uttar Pradesh,Orange Zone,,
675,Jhansi,Uttar Pradesh,Orange Zone,,
676,Hardoi,Uttar Pradesh,Orange Zone,,
677,Kaushambi,Uttar Pradesh,Orange Zone,,
678,Barabanki,Uttar Pradesh,Green Zone,,
679,Kheri,Uttar Pradesh,Green Zone,,
680,Hathras,Uttar Pradesh,Green Zone,,
681,Maharajganj,Uttar Pradesh,Green Zone,,
682,Shahjahanpur,Uttar Pradesh,Green Zone,,
683,Ambedkar Nagar,Uttar Pradesh,Green Zone,,
684,Ballia,Uttar Pradesh,Green Zone,,
685,Chandauli,Uttar Pradesh,Green Zone,,
686,Chitrakoot,Uttar Pradesh,Green Zone,,
687,Deoria,Uttar Pradesh,Green Zone,,
688,Farrukhabad,Uttar Pradesh,Green Zone,,
689,Fatehpur,Uttar Pradesh,Green Zone,,
690,Hamirpur,Uttar Pradesh,Green Zone,,
691,Kanpur Dehat,Uttar Pradesh,Green Zone,,
692,Kushi Nagar,Uttar Pradesh,Green Zone,,
693,Lalitpur,Uttar Pradesh,Green Zone,,
694,Mahoba,Uttar Pradesh,Green Zone,,
695,Siddharth Nagar,Uttar Pradesh,Green Zone,,
696,Sonbhadra,Uttar Pradesh,Green Zone,,
697,Amethi,Uttar Pradesh,Green Zone,,
698,Haridwar,Uttarakhand,Red Zone,,
699,Dehradun,Uttarakhand,Orange Zone,,
700,Nainital,Uttarakhand,Orange Zone,,
701,Udam Singh Nagar,Uttarakhand,Green Zone,,
702,Almora,Uttarakhand,Green Zone,,
703,PauriGarhwal,Uttarakhand,Green Zone,,
704,Bageshwar,Uttarakhand,Green Zone,,
705,Chamoli,Uttarakhand,Green Zone,,
706,Champawat,Uttarakhand,Green Zone,,
707,Pithoragarh,Uttarakhand,Green Zone,,
708,RudraPrayag,Uttarakhand,Green Zone,,
709,Tehri Garhwal,Uttarakhand,Green Zone,,
710,Uttar Kashi,Uttarakhand,Green Zone,,
711,Kolkata,West Bengal,Red Zone,,
712,Howrah,West Bengal,Red Zone,,
713,24 Paraganas North,West Bengal,Red Zone,,
714,24 Paraganas South,West Bengal,Red Zone,,
715,Medinipur West,West Bengal,Red Zone,,
716,Medinipur East,West Bengal,Red Zone,,
717,Darjeeling,West Bengal,Red Zone,,
718,Jalpaiguri,West Bengal,Red Zone,,
719,Kalimpong,West Bengal,Red Zone,,
720,Maldah,West Bengal,Red Zone,,
721,Hooghly,West Bengal,Orange Zone,,
722,PaschimBardhaman,West Bengal,Orange Zone,,
723,Nadia,West Bengal,Orange Zone,,
724,PurbaBardhaman,West Bengal,Orange Zone,,
725,Murshidabad,West Bengal,Orange Zone,,
726,Dinajpur Uttar,West Bengal,Green Zone,,
727,Bankura,West Bengal,Green Zone,,
728,Birbhum,West Bengal,Green Zone,,
729,Coochbehar,West Bengal,Green Zone,,
730,Dinajpur Dakshin,West Bengal,Green Zone,,
731,Purulia,West Bengal,Green Zone,,
732,Alipurduar,West Bengal,Green Zone,,
733,Jhargram,West Bengal,Green Zone,,
